lead_id,priority_score,normalized_need_score,qualification,qualification_reason,confidence_score,review_opportunity_score,profile_gap_score,website_opportunity_score,business_value_score,reachability_score,business_name,niche,google_primary_category,category_fit,category_assessment,phone,phone_e164,line_type,carrier_name,cell_status,phone_queue,potential_owner_name,owner_source_url,owner_confidence,contact_window_estimate,city,market_city,state,street,postal_code,google_rating,google_reviews,google_rank_in_source_query,source_query_result_count,source_query_median_reviews,review_gap_summary,website,website_domain,website_opportunity,website_audited,website_audit_status,website_final_url,website_http_status,website_has_mobile_viewport,website_uses_wordpress,entry_offer,core_offer,website_offer,public_demand_proxy,profile_claimed_signal,profile_gaps,generic_listing_risk,likely_chain_or_franchise,google_maps_url,primary_place_id,source_query,scraped_at,legacy_priority_rank,duplicate_listing_count,alternate_business_names,alternate_place_ids,alternate_phones,overall_rank,call_ready_rank,call_queue_rank
phone:+15205511697,91,86,Call ready,Callable local service business with a measurable review/profile/website opportunity,90,30,14,20,15,8,Affordable Pool Services,pool service,Swimming pool contractor,Yes,Target service category,(520) 551-1697,+15205511697,mobile,Verizon Wireless,CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),Tucson,Tucson,Arizona,10426 E Marquette St,85747,4.6,11,10,9,209,11 reviews vs 209 median in this Google result set,,,No website listed,Yes,No website,,,,,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,hours not visible; description not visible; fewer than 10 images; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Affordable%20Pool%20Services&query_place_id=ChIJH3lqbtBm1oYRv89gMdOSMYc,ChIJH3lqbtBm1oYRv89gMdOSMYc,pool service Tucson AZ,2026-07-08T07:28:36.881Z,19,1,,,,1,1,1
phone:+19282261721,85,82,Call ready,Callable local service business with a measurable review/profile/website opportunity,95,28,10,20,13,9,Lopez Appliance Service,appliance repair,Appliance repair service,Yes,Target service category,(928) 226-1721,+19282261721,mobile,Verizon Wireless,CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),Flagstaff,Flagstaff,Arizona,209 S Humphreys St,86001,5,2,4,10,23.5,2 reviews vs 24 median in this Google result set,,,No website listed,Yes,No website,,,,,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,description not visible; fewer than 10 images; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Lopez%20Appliance%20Service&query_place_id=ChIJ1TZIZSePLYcRFJweSXbTAPA,ChIJ1TZIZSePLYcRFJweSXbTAPA,appliance repair Flagstaff AZ,2026-07-08T07:27:09.785Z,12,1,,,,3,3,2
phone:+16028147774,85,80,Call ready,Callable local service business with a measurable review/profile/website opportunity,95,28,8,20,15,9,Lightning Sprinkler and Lighting Repair,irrigation repair,Lawn sprinkler system contractor,Yes,Target service category,(602) 814-7774,+16028147774,mobile,"T-Mobile USA, Inc.",CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),Phoenix,Phoenix,Arizona,9509 N 2nd St,85020,5,18,13,9,102,18 reviews vs 102 median in this Google result set,,,No website listed,Yes,No website,,,,,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,description not visible; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Lightning%20Sprinkler%20and%20Lighting%20Repair&query_place_id=ChIJo1GPBKBtK4cRUY6qmpw2P3w,ChIJo1GPBKBtK4cRUY6qmpw2P3w,irrigation repair Phoenix AZ,2026-07-08T07:28:21.695Z,21,1,,,,4,4,3
phone:+19285254195,84,79,Call ready,Callable local service business with a measurable review/profile/website opportunity,95,28,14,13,15,9,Good Bros. Pest Control,pest control,Pest control service,Yes,Target service category,(928) 525-4195,+19285254195,mobile,Verizon Wireless,CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),,Flagstaff,Arizona,,,5,13,8,10,102,13 reviews vs 102 median in this Google result set,https://goodbrospest.com/,goodbrospest.com,Technical issues found,Yes,Needs technical review,https://goodbrospest.com/,200,Yes,Yes,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,hours not visible; description not visible; fewer than 10 images; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Good%20Bros.%20Pest%20Control&query_place_id=ChIJVVXpJyGPLYcRV4EhO_pre64,ChIJVVXpJyGPLYcRV4EhO_pre64,pest control Flagstaff AZ,2026-07-08T07:26:57.434Z,188,1,,,,5,5,4
phone:+16028147771,84,79,Call ready,Callable local service business with a measurable review/profile/website opportunity,90,25,12,20,15,8,Zacks Irrigation Repair LLC,irrigation repair,Lawn sprinkler system contractor,Yes,Target service category,(602) 814-7771,+16028147771,mobile,"T-Mobile USA, Inc.",CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),,Phoenix,Arizona,,,4.8,37,14,9,102,37 reviews vs 102 median in this Google result set,,,No website listed,Yes,No website,,,,,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,hours not visible; description not visible; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Zacks%20Irrigation%20Repair%20LLC&query_place_id=ChIJC6apvoMTK4cRg9NYhgsCZKM,ChIJC6apvoMTK4cRg9NYhgsCZKM,irrigation repair Phoenix AZ,2026-07-08T07:28:21.575Z,59,1,,,,6,6,5
phone:+16025009706,84,79,Call ready,Callable local service business with a measurable review/profile/website opportunity,90,25,12,20,15,8,"Joe's Irrigation Repair & Installation, LLC",irrigation repair,Lawn sprinkler system contractor,Yes,Target service category,(602) 500-9706,+16025009706,mobile,T-Mobile USA,CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),,Glendale,Arizona,,,4.4,40,9,10,100,40 reviews vs 100 median in this Google result set,,,No website listed,Yes,No website,,,,,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,hours not visible; description not visible; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Joe's%20Irrigation%20Repair%20%26%20Installation%2C%20LLC&query_place_id=ChIJIfiw3gxrK4cRGbsSPG9gqtw,ChIJIfiw3gxrK4cRGbsSPG9gqtw,irrigation repair Glendale AZ,2026-07-08T07:24:41.950Z,35,1,,,,7,7,6
phone:+19282471020,83,80,Call ready,Callable local service business with a measurable review/profile/website opportunity,95,28,8,20,13,9,West Coast Garage Doors,garage door repair,Garage door supplier,Yes,Target service category,(928) 247-1020,+19282471020,mobile,AT&T Wireless,CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),Somerton,Somerton,Arizona,397 N Bingham Ave,85350,5,2,6,10,25.5,2 reviews vs 26 median in this Google result set,,,No website listed,Yes,No website,,,,,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,description not visible; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=West%20Coast%20Garage%20Doors&query_place_id=ChIJLcicc9FZ1oARE0spMY9Lfzc,ChIJLcicc9FZ1oARE0spMY9Lfzc,garage door repair Yuma AZ,2026-07-08T07:27:30.010Z,14,1,,,,8,8,7
phone:+16029892944,83,80,Call ready,Callable local service business with a measurable review/profile/website opportunity,95,28,8,20,13,9,Turbo Appliance Repair,appliance repair,Appliance repair service,Yes,Target service category,(602) 989-2944,+16029892944,mobile,Verizon Wireless,CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),Peoria,Peoria,Arizona,14100 N 83rd Ave,85381,5,16,3,10,200.5,16 reviews vs 201 median in this Google result set,,,No website listed,Yes,No website,,,,,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,description not visible; fewer than 10 images,No,No,https://www.google.com/maps/search/?api=1&query=Turbo%20Appliance%20Repair&query_place_id=ChIJH2iBJ3VpK4cRh9-Wpm03PPo,ChIJH2iBJ3VpK4cRh9-Wpm03PPo,appliance repair Peoria AZ,2026-07-08T07:26:16.862Z,20,1,,,,9,9,8
phone:+19283040086,83,80,Call ready,Callable local service business with a measurable review/profile/website opportunity,90,24,14,20,13,8,Curiel Garage Doors,garage door repair,Garage door supplier,Yes,Target service category,(928) 304-0086,+19283040086,mobile,T-Mobile USA,CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),,Yuma,Arizona,,,5,7,10,10,25.5,7 reviews vs 26 median in this Google result set,,,No website listed,Yes,No website,,,,,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,hours not visible; description not visible; fewer than 10 images; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Curiel%20Garage%20Doors&query_place_id=ChIJFaOa4gG37y0RWSCIE_wwO6U,ChIJFaOa4gG37y0RWSCIE_wwO6U,garage door repair Yuma AZ,2026-07-08T07:27:18.252Z,16,1,,,,10,10,9
phone:+19289191637,83,80,Call ready,Callable local service business with a measurable review/profile/website opportunity,90,24,14,20,13,8,S.O.S. Garage Door Service,garage door repair,Garage door supplier,Yes,Target service category,(928) 919-1637,+19289191637,mobile,Verizon Wireless,CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),,Yuma,Arizona,,,5,8,4,10,25.5,8 reviews vs 26 median in this Google result set,,,No website listed,Yes,No website,,,,,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,hours not visible; description not visible; fewer than 10 images; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=S.O.S.%20Garage%20Door%20Service&query_place_id=ChIJlYO3AqlY1oARbCFoC6psFs4,ChIJlYO3AqlY1oARbCFoC6psFs4,garage door repair Yuma AZ,2026-07-08T07:28:18.558Z,17,1,,,,11,11,10
