cohort,niche,business_leads,cities_covered,city_list,normalized_need_median,normalized_need_average,call_ready_count,call_ready_pct,excluded_pct,median_reviews,median_rating,median_review_to_local_ratio,below_local_result_median_pct,under_20_reviews_pct,no_website_pct,mobile_verified_pct,possible_mobile_voip_pct,website_audited_count,website_actionable_pct_of_audited,comparison_for,matched_city_list
Alternative matched arm,pool service,71,11,Phoenix | Tucson | Mesa | Scottsdale | Glendale | Gilbert | Tempe | Peoria | Surprise | Yuma | Flagstaff,47,46.1,38,53.5,9.9,85,4.8,0.96,50.7,14.1,4.2,47.9,36.6,22,54.5,pool service,Phoenix | Tucson | Mesa | Scottsdale | Glendale | Gilbert | Tempe | Peoria | Surprise | Yuma | Flagstaff
Traditional matched control,hvac contractor,71,11,Phoenix | Tucson | Mesa | Scottsdale | Glendale | Gilbert | Tempe | Peoria | Surprise | Yuma | Flagstaff,44,46.1,34,47.9,4.2,316,4.9,1,39.4,2.8,1.4,16.9,80.3,30,16.7,pool service,Phoenix | Tucson | Mesa | Scottsdale | Glendale | Gilbert | Tempe | Peoria | Surprise | Yuma | Flagstaff
Traditional matched control,plumber,71,11,Phoenix | Tucson | Mesa | Scottsdale | Glendale | Gilbert | Tempe | Peoria | Surprise | Yuma | Flagstaff,46,45.5,36,50.7,5.6,472,4.9,1,45.1,0,4.2,23.9,69,28,10.7,pool service,Phoenix | Tucson | Mesa | Scottsdale | Glendale | Gilbert | Tempe | Peoria | Surprise | Yuma | Flagstaff
Traditional matched control,landscaper,71,11,Phoenix | Tucson | Mesa | Scottsdale | Glendale | Gilbert | Tempe | Peoria | Surprise | Yuma | Flagstaff,49,47.9,39,54.9,4.2,62,4.9,1,43.7,14.1,5.6,57.7,32.4,37,37.8,pool service,Phoenix | Tucson | Mesa | Scottsdale | Glendale | Gilbert | Tempe | Peoria | Surprise | Yuma | Flagstaff
Alternative matched arm,irrigation repair,59,11,Phoenix | Mesa | Chandler | Scottsdale | Glendale | Gilbert | Tempe | Peoria | Surprise | Yuma | Flagstaff,51,48,32,54.2,8.5,43,4.9,1,47.5,35.6,18.6,54.2,27.1,21,66.7,irrigation repair,Phoenix | Mesa | Chandler | Scottsdale | Glendale | Gilbert | Tempe | Peoria | Surprise | Yuma | Flagstaff
Traditional matched control,hvac contractor,59,11,Phoenix | Mesa | Chandler | Scottsdale | Glendale | Gilbert | Tempe | Peoria | Surprise | Yuma | Flagstaff,44,45.6,27,45.8,5.1,438,4.9,1,40.7,3.4,1.7,16.9,81.4,25,16,irrigation repair,Phoenix | Mesa | Chandler | Scottsdale | Glendale | Gilbert | Tempe | Peoria | Surprise | Yuma | Flagstaff
Traditional matched control,plumber,59,11,Phoenix | Mesa | Chandler | Scottsdale | Glendale | Gilbert | Tempe | Peoria | Surprise | Yuma | Flagstaff,44,44.1,27,45.8,5.1,484,4.9,1,39,0,1.7,22,71.2,21,9.5,irrigation repair,Phoenix | Mesa | Chandler | Scottsdale | Glendale | Gilbert | Tempe | Peoria | Surprise | Yuma | Flagstaff
Traditional matched control,landscaper,59,11,Phoenix | Mesa | Chandler | Scottsdale | Glendale | Gilbert | Tempe | Peoria | Surprise | Yuma | Flagstaff,50,50.5,34,57.6,1.7,64,4.9,1,44.1,16.9,5.1,61,30.5,33,45.5,irrigation repair,Phoenix | Mesa | Chandler | Scottsdale | Glendale | Gilbert | Tempe | Peoria | Surprise | Yuma | Flagstaff
Alternative matched arm,pest control,78,12,Phoenix | Tucson | Mesa | Chandler | Scottsdale | Glendale | Gilbert | Tempe | Peoria | Surprise | Yuma | Flagstaff,43,43.3,33,42.3,15.4,501,4.9,1.04,46.2,3.8,0,20.5,59,14,28.6,pest control,Phoenix | Tucson | Mesa | Chandler | Scottsdale | Glendale | Gilbert | Tempe | Peoria | Surprise | Yuma | Flagstaff
Traditional matched control,hvac contractor,78,12,Phoenix | Tucson | Mesa | Chandler | Scottsdale | Glendale | Gilbert | Tempe | Peoria | Surprise | Yuma | Flagstaff,45,46.4,39,50,3.8,404,4.9,1,41,2.6,1.3,19.2,78.2,34,14.7,pest control,Phoenix | Tucson | Mesa | Chandler | Scottsdale | Glendale | Gilbert | Tempe | Peoria | Surprise | Yuma | Flagstaff
