cohort,niche,business_leads,cities_covered,city_list,normalized_need_median,normalized_need_average,call_ready_count,call_ready_pct,excluded_pct,median_reviews,median_rating,median_review_to_local_ratio,below_local_result_median_pct,under_20_reviews_pct,no_website_pct,mobile_verified_pct,possible_mobile_voip_pct,website_audited_count,website_actionable_pct_of_audited
Alternative,pool service,95,11,Phoenix | Tucson | Mesa | Scottsdale | Glendale | Gilbert | Tempe | Peoria | Surprise | Yuma | Flagstaff,47,45.8,51,53.7,11.6,85,4.8,0.96,50.5,14.7,4.2,46.3,41.1,30,50
Alternative,irrigation repair,71,11,Phoenix | Mesa | Chandler | Scottsdale | Glendale | Gilbert | Tempe | Peoria | Surprise | Yuma | Flagstaff,51,46.9,36,50.7,11.3,43,4.9,1,49.3,35.2,16.9,57.7,23.9,25,64
Alternative,pest control,124,12,Phoenix | Tucson | Mesa | Chandler | Scottsdale | Glendale | Gilbert | Tempe | Peoria | Surprise | Yuma | Flagstaff,44,44.6,58,46.8,12.9,474.5,4.9,0.96,51.6,4,0,23.4,58.1,25,28
Alternative,house cleaning,72,10,Tucson | Mesa | Scottsdale | Glendale | Gilbert | Tempe | Peoria | Surprise | Yuma | Flagstaff,46.5,48.3,31,43.1,9.7,107,4.8,0.99,50,19.4,4.2,34.7,61.1,14,57.1
Alternative,garage door repair,82,11,Phoenix | Tucson | Chandler | Scottsdale | Glendale | Gilbert | Tempe | Peoria | Surprise | Yuma | Flagstaff,48,46.1,45,54.9,12.2,152.5,5,0.97,51.2,8.5,9.8,36.6,54.9,21,42.9
Alternative,carpet cleaning,67,11,Phoenix | Tucson | Mesa | Chandler | Scottsdale | Glendale | Gilbert | Tempe | Surprise | Yuma | Flagstaff,49,47.9,29,43.3,11.9,87,5,1,49.3,11.9,1.5,55.2,32.8,15,46.7
Alternative,appliance repair,77,11,Phoenix | Mesa | Chandler | Scottsdale | Glendale | Gilbert | Tempe | Peoria | Surprise | Yuma | Flagstaff,45,44.6,32,41.6,13,97,4.8,1,49.4,20.8,14.3,44.2,39,24,62.5
Alternative,tile and grout cleaning,102,12,Phoenix | Tucson | Mesa | Chandler | Scottsdale | Glendale | Gilbert | Tempe | Peoria | Surprise | Yuma | Flagstaff,43.5,43.7,37,36.3,11.8,94,5,1.01,47.1,10.8,3.9,56.9,33.3,16,62.5
Traditional control,hvac contractor,84,12,Phoenix | Tucson | Mesa | Chandler | Scottsdale | Glendale | Gilbert | Tempe | Peoria | Surprise | Yuma | Flagstaff,44.5,46.1,41,48.8,4.8,380.5,4.9,1,42.9,2.4,1.2,19,78.6,37,16.2
Traditional control,plumber,84,12,Phoenix | Tucson | Mesa | Chandler | Scottsdale | Glendale | Gilbert | Tempe | Peoria | Surprise | Yuma | Flagstaff,44,45,40,47.6,7.1,427.5,4.9,1,42.9,0,4.8,23.8,67.9,32,15.6
Traditional control,landscaper,83,12,Phoenix | Tucson | Mesa | Chandler | Scottsdale | Glendale | Gilbert | Tempe | Peoria | Surprise | Yuma | Flagstaff,49,48.8,47,56.6,3.6,62,4.9,1,43.4,15.7,4.8,60.2,30.1,44,40.9
