lead_id,priority_score,normalized_need_score,qualification,qualification_reason,confidence_score,review_opportunity_score,profile_gap_score,website_opportunity_score,business_value_score,reachability_score,business_name,niche,google_primary_category,category_fit,category_assessment,phone,phone_e164,line_type,carrier_name,cell_status,phone_queue,potential_owner_name,owner_source_url,owner_confidence,contact_window_estimate,city,market_city,state,street,postal_code,google_rating,google_reviews,google_rank_in_source_query,source_query_result_count,source_query_median_reviews,review_gap_summary,website,website_domain,website_opportunity,website_audited,website_audit_status,website_final_url,website_http_status,website_has_mobile_viewport,website_uses_wordpress,entry_offer,core_offer,website_offer,public_demand_proxy,profile_claimed_signal,profile_gaps,generic_listing_risk,likely_chain_or_franchise,google_maps_url,primary_place_id,source_query,scraped_at,legacy_priority_rank,duplicate_listing_count,alternate_business_names,alternate_place_ids,alternate_phones,overall_rank,call_ready_rank,call_queue_rank
phone:+14806487841,85,82,Call ready,Callable local service business with a measurable review/profile/website opportunity,95,28,10,20,13,9,Cj's Landscaping,landscaper,Landscaper,Yes,Target service category,(480) 648-7841,+14806487841,mobile,"T-Mobile USA, Inc.",CELL,Mobile verified,,,Not found,Tue-Thu 8:00-9:00 AM or 3:30-5:00 PM (estimate),Tempe,Tempe,Arizona,226 E Erie Dr,85282,5,12,4,7,59,12 reviews vs 59 median in this Google result set,,,No website listed,Yes,No website,,,,,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,description not visible; fewer than 10 images; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Cj's%20Landscaping&query_place_id=ChIJZUuukZEJK4cRyrmFiIobT1c,ChIJZUuukZEJK4cRyrmFiIobT1c,landscaper Tempe AZ,2026-07-10T03:40:08.608Z,0,1,,,,1,1,1
phone:+16027028700,82,77,Call ready,Callable local service business with a measurable review/profile/website opportunity,90,25,10,20,15,8,Tactical Plumbing LLC,plumber,Plumber,Yes,Target service category,(602) 702-8700,+16027028700,mobile,Verizon Wireless,CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),,Surprise,Arizona,,,4.9,79,7,7,411,79 reviews vs 411 median in this Google result set,,,No website listed,Yes,No website,,,,,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,hours not visible; description not visible; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Tactical%20Plumbing%20LLC&query_place_id=ChIJwyxYOMpFK4cRNU2-vtfEEms,ChIJwyxYOMpFK4cRNU2-vtfEEms,plumber Surprise AZ,2026-07-10T03:38:33.190Z,0,1,,,,3,3,2
phone:+16238875125,81,76,Call ready,Callable local service business with a measurable review/profile/website opportunity,100,28,10,13,15,10,Elite HVAC Repair Scottsdale,hvac contractor,HVAC contractor,Yes,Target service category,(623) 887-5125,+16238875125,mobile,"Onvoy, LLC",CELL,Mobile verified,,,Not found,Tue-Thu 8:00-9:00 AM or 3:30-5:00 PM (estimate),Scottsdale,Scottsdale,Arizona,9661 Hayden Rd,85258,5,4,3,7,371,4 reviews vs 371 median in this Google result set,https://elitehvacrepairscottsdale.com/,elitehvacrepairscottsdale.com,Technical issues found,Yes,Needs technical review,https://elitehvacrepairscottsdale.com/,200,Yes,No,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,description not visible; fewer than 10 images; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Elite%20HVAC%20Repair%20Scottsdale&query_place_id=ChIJzaKS_EkJxQkRlme0KmqCVMw,ChIJzaKS_EkJxQkRlme0KmqCVMw,HVAC contractor Scottsdale AZ,2026-07-10T03:40:20.924Z,0,1,,,,4,4,3
phone:+14805098107,79,76,Call ready,Callable local service business with a measurable review/profile/website opportunity,95,26,6,20,13,9,CITY2CITY LANDSCAPING AZ LLC,landscaper,Gardener,Yes,Target service category,(480) 509-8107,+14805098107,mobile,AT&T Wireless,CELL,Mobile verified,,,Not found,Tue-Thu 8:00-9:00 AM or 3:30-5:00 PM (estimate),Glendale,Glendale,Arizona,4400 W Missouri Ave,85301,4.8,18,2,7,64,18 reviews vs 64 median in this Google result set,,,No website listed,Yes,No website,,,,,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,description not visible; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=CITY2CITY%20LANDSCAPING%20AZ%20LLC&query_place_id=ChIJY4De4I2XCiYRd2nXDwAN1Ho,ChIJY4De4I2XCiYRd2nXDwAN1Ho,landscaper Glendale AZ,2026-07-10T03:39:43.025Z,0,1,,,,5,5,4
phone:+14807026165,78,73,Call ready,Callable local service business with a measurable review/profile/website opportunity,95,23,6,20,15,9,Affordable Plumber AZ LLC,plumber,Plumber,Yes,Target service category,(480) 702-6165,+14807026165,mobile,Verizon Wireless,CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),Mesa,Mesa,Arizona,127 W Juanita Ave,85210,4.8,91,6,7,351,91 reviews vs 351 median in this Google result set,,,No website listed,Yes,No website,,,,,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,description not visible; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Affordable%20Plumber%20AZ%20LLC&query_place_id=ChIJAWPAAa-nK4cRAoh-FA-wuIQ,ChIJAWPAAa-nK4cRAoh-FA-wuIQ,plumber Mesa AZ,2026-07-10T03:39:17.532Z,0,1,,,,7,7,5
phone:+16023305875,76,73,Call ready,Callable local service business with a measurable review/profile/website opportunity,95,19,12,18,13,9,Thompson Landscape,landscaper,Landscaper,Yes,Target service category,(602) 330-5875,+16023305875,mobile,T-Mobile USA,CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),,Scottsdale,Arizona,,,5,22,7,7,28,22 reviews vs 28 median in this Google result set,https://thompsonlandscapeaz.com/?utm_campaign=gmb,thompsonlandscapeaz.com,Unreachable in technical check,Yes,Unreachable,,,,,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,hours not visible; description not visible; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Thompson%20Landscape&query_place_id=ChIJrzbczKoWGm0RnhIuKQayObg,ChIJrzbczKoWGm0RnhIuKQayObg,landscaper Scottsdale AZ,2026-07-10T03:39:50.756Z,0,1,,,,8,8,6
phone:+14802686260,75,72,Call ready,Callable local service business with a measurable review/profile/website opportunity,100,24,10,13,13,10,Mesa Landscaping Arizona,landscaper,Landscaper,Yes,Target service category,(480) 268-6260,+14802686260,mobile,Verizon Wireless,CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),Mesa,Mesa,Arizona,114 S 84th Way,85207,5,9,1,7,27,9 reviews vs 27 median in this Google result set,https://mesalandscapingarizona.com/,mesalandscapingarizona.com,Technical issues found,Yes,Needs technical review,https://mesalandscapingarizona.com/,200,Yes,No,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,description not visible; fewer than 10 images; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Mesa%20Landscaping%20Arizona&query_place_id=ChIJNfZV8XklKQIRp5cZG1BtfFo,ChIJNfZV8XklKQIRp5cZG1BtfFo,landscaper Mesa AZ,2026-07-10T03:40:20.197Z,0,1,,,,9,9,7
phone:+16028027019,75,72,Call ready,Callable local service business with a measurable review/profile/website opportunity,100,28,6,13,13,10,Phillip's Landscaping Services,landscaper,Landscaper,Yes,Target service category,(602) 802-7019,+16028027019,mobile,"T-Mobile USA, Inc.",CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),Chandler,Chandler,Arizona,501 W Harrison St,85225,4.9,11,4,7,51,11 reviews vs 51 median in this Google result set,http://phillipslandscapingaz.com/,phillipslandscapingaz.com,Technical issues found,Yes,Needs technical review,https://phillipslandscapingaz.com/,200,Yes,No,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,description not visible; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Phillip's%20Landscaping%20Services&query_place_id=ChIJndV88MGrK4cRiEy7077DtwA,ChIJndV88MGrK4cRiEy7077DtwA,landscaper Chandler AZ,2026-07-10T03:39:21.431Z,0,1,,,,10,10,8
phone:+15203044903,72,69,Call ready,Callable local service business with a measurable review/profile/website opportunity,100,25,6,13,13,10,Arizona Sunset Landscaping,landscaper,Landscaper,Yes,Target service category,(520) 304-4903,+15203044903,mobile,Verizon Wireless,CELL,Mobile verified,,,Not found,Tue-Thu 8:00-9:00 AM or 3:30-5:00 PM (estimate),Tucson,Tucson,Arizona,1111 E Limberlost Dr,85719,4.7,26,3,7,70,26 reviews vs 70 median in this Google result set,http://arizonasunsetlandscaping.com/,arizonasunsetlandscaping.com,Technical issues found,Yes,Needs technical review,https://arizonasunsetlandscaping.com/,200,Yes,No,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,description not visible; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Arizona%20Sunset%20Landscaping&query_place_id=ChIJjTmS696ZjYERj8o8diuxqys,ChIJjTmS696ZjYERj8o8diuxqys,landscaper Tucson AZ,2026-07-10T03:39:29.487Z,0,1,,,,12,12,9
phone:+19287794543,71,66,Call ready,Callable local service business with a measurable review/profile/website opportunity,100,29,10,2,15,10,Boyer Heating & Cooling,hvac contractor,HVAC contractor,Yes,Target service category,(928) 779-4543,+19287794543,mobile,Verizon Wireless,CELL,Mobile verified,,,Not found,Tue-Thu 9:00-11:00 AM (estimate),Flagstaff,Flagstaff,Arizona,1160 W Kaibab Ln,86001,4.2,27,7,7,154,27 reviews vs 154 median in this Google result set,https://www.boyerhc.com/,boyerhc.com,Basic technical checks pass,Yes,Basic checks pass,https://boyerhc.com/,200,Yes,Yes,14-day review capture trial; $97/mo if retained,$499-$749/mo GBP/local visibility,"$2,500-$5,000 WordPress build",Not established,Likely claimed,description not visible; fewer than 10 images; no owner updates found,No,No,https://www.google.com/maps/search/?api=1&query=Boyer%20Heating%20%26%20Cooling&query_place_id=ChIJ1Szlz8-FLYcRudkjeeJrz44,ChIJ1Szlz8-FLYcRudkjeeJrz44,HVAC contractor Flagstaff AZ,2026-07-10T03:39:07.379Z,0,1,,,,14,14,10
