Queue rank,Evidence tier,Business,Category,City,State,Phone,Email,Rating,Reviews,Current primary offer,Website score,Website status,Google verification link,Exact Google Maps link,Verify before pitch,Data freshness,Source(s),Contact name,Contact title,Status,Notes
1,Website lead - recheck today,Mallard Appliance,appliance repair,Surprise,AZ,'+19286255273,,4.9,159,Website,94,Website build candidate · no owned domain found,https://www.google.com/maps/search/?api=1&query=Mallard%20Appliance&query_place_id=ChIJrSOwwEkzW0QRbWTQpz5kkVw,https://www.google.com/maps/search/?api=1&query=Mallard%20Appliance&query_place_id=ChIJrSOwwEkzW0QRbWTQpz5kkVw,Current search on 2026-07-20 surfaced directory profiles but no owned domain. Confirm once more immediately before the call.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,
2,Website lead - recheck today,Paradise Landscape & Irrigation,irrigation repair,Chandler,AZ,'+16022951929,,4.8,143,Website,94,Website build candidate · no owned domain found,https://www.google.com/maps/search/?api=1&query=Paradise%20Landscape%20%26%20Irrigation&query_place_id=ChIJ_ZNT-hyqK4cRl_BLAh2DbL8,https://www.google.com/maps/search/?api=1&query=Paradise%20Landscape%20%26%20Irrigation&query_place_id=ChIJ_ZNT-hyqK4cRl_BLAh2DbL8,Current search on 2026-07-20 surfaced directory profiles but no owned domain. Confirm once more immediately before the call.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,
3,Website lead - recheck today,Affordable Plumber AZ LLC,plumber,Mesa,AZ,'+14807026165,,4.8,91,Website,90,Website build candidate · no owned domain found,https://www.google.com/maps/search/?api=1&query=Affordable%20Plumber%20AZ%20LLC&query_place_id=ChIJAWPAAa-nK4cRAoh-FA-wuIQ,https://www.google.com/maps/search/?api=1&query=Affordable%20Plumber%20AZ%20LLC&query_place_id=ChIJAWPAAa-nK4cRAoh-FA-wuIQ,Current search on 2026-07-20 surfaced active business profiles but no owned website. Confirm once more immediately before the call.,2026-07-10,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,
4,Website lead - recheck today,Ibanez Appliance Solutions LLC,appliance repair,Surprise,AZ,'+16024631004,,5,88,Website,90,Website build candidate · no owned domain found,https://www.google.com/maps/search/?api=1&query=Ibanez%20Appliance%20Solutions%20LLC&query_place_id=ChIJv3gmz-tFK4cRYmM7ThoVfSE,https://www.google.com/maps/search/?api=1&query=Ibanez%20Appliance%20Solutions%20LLC&query_place_id=ChIJv3gmz-tFK4cRYmM7ThoVfSE,Current search on 2026-07-20 surfaced Nextdoor/directory profiles but no owned domain. Confirm once more immediately before the call.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,
5,Website lead - recheck today,Royal Plumbing & Rooter Services,plumber,Flagstaff,AZ,'+19285263659,,4.4,71,Website,90,Website build candidate · no owned domain found,https://www.google.com/maps/search/?api=1&query=Royal%20Plumbing%20%26%20Rooter%20Services&query_place_id=ChIJi3JuSiqPLYcRlxkCavnSWn8,https://www.google.com/maps/search/?api=1&query=Royal%20Plumbing%20%26%20Rooter%20Services&query_place_id=ChIJi3JuSiqPLYcRlxkCavnSWn8,Current search on 2026-07-20 surfaced current directory profiles; the historical domain no longer resolves and no current owned website was found. Confirm once more immediately before the call.,2026-07-10,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,
6,Website lead - recheck today,Hernandez Irrigation Repairs,irrigation repair,Chandler,AZ,'+14805723141,,4.9,70,Website,90,Website build candidate · no owned domain found,https://www.google.com/maps/search/?api=1&query=Hernandez%20Irrigation%20Repairs&query_place_id=ChIJD61KuFZLKocRcKjIFE-i1pQ,https://www.google.com/maps/search/?api=1&query=Hernandez%20Irrigation%20Repairs&query_place_id=ChIJD61KuFZLKocRcKjIFE-i1pQ,Current search on 2026-07-20 surfaced directory profiles but no owned domain. Confirm once more immediately before the call.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,
7,Website lead - recheck today,Pristine Pool Service and Repair LLC,pool service,Phoenix,AZ,'+16023006765,,5,47,Website,85,Website build candidate · no owned domain found,https://www.google.com/maps/search/?api=1&query=Pristine%20Pool%20Service%20and%20Repair%20LLC&query_place_id=ChIJIypV4dOWSyoRE1gGByybVUg,https://www.google.com/maps/search/?api=1&query=Pristine%20Pool%20Service%20and%20Repair%20LLC&query_place_id=ChIJIypV4dOWSyoRE1gGByybVUg,Current search on 2026-07-20 surfaced active licensing and directory profiles but no owned website. Confirm once more immediately before the call.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9 | Phoenix pool/garage probe · Jul 8,,,,
8,Website lead - recheck today,"Joe's Irrigation Repair & Installation, LLC",irrigation repair,Glendale,AZ,'+16025009706,,4.4,40,Website,85,Website build candidate · no site linked on Google,https://www.google.com/maps/search/?api=1&query=Joe's%20Irrigation%20Repair%20%26%20Installation%2C%20LLC&query_place_id=ChIJIfiw3gxrK4cRGbsSPG9gqtw,https://www.google.com/maps/search/?api=1&query=Joe's%20Irrigation%20Repair%20%26%20Installation%2C%20LLC&query_place_id=ChIJIfiw3gxrK4cRGbsSPG9gqtw,Google profile had no website link on Jul 8; search for an independent official site before calling.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,
9,Website lead - recheck today,Zacks Irrigation Repair LLC,irrigation repair,Phoenix,AZ,'+16028147771,,4.8,37,Website,85,Website build candidate · no site linked on Google,https://www.google.com/maps/search/?api=1&query=Zacks%20Irrigation%20Repair%20LLC&query_place_id=ChIJC6apvoMTK4cRg9NYhgsCZKM,https://www.google.com/maps/search/?api=1&query=Zacks%20Irrigation%20Repair%20LLC&query_place_id=ChIJC6apvoMTK4cRg9NYhgsCZKM,Google profile had no website link on Jul 8; search for an independent official site before calling.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,
10,Website lead - recheck today,"Platinum Elite Steam Cleaning, Inc. Tuscon AZ",tile and grout cleaning,Tucson,AZ,'+15205265502,,5,34,Website,85,Website build candidate · no site linked on Google,https://www.google.com/maps/search/?api=1&query=Platinum%20Elite%20Steam%20Cleaning%2C%20Inc.%20Tuscon%20AZ&query_place_id=ChIJYZRs8lRxAoIRyQlFBMm-Ao8,https://www.google.com/maps/search/?api=1&query=Platinum%20Elite%20Steam%20Cleaning%2C%20Inc.%20Tuscon%20AZ&query_place_id=ChIJYZRs8lRxAoIRyQlFBMm-Ao8,Google profile had no website link on Jul 8; search for an independent official site before calling.,2026-07-22,Arizona service leads · Maps Jul 8 / audit Jul 9 | Angi paid-advertiser research · Jul 21,,,,
