Queue rank,Evidence tier,Business,Category,City,State,Phone,Email,Rating,Reviews,Current primary offer,Website score,Website status,Google verification link,Exact Google Maps link,Verify before pitch,Data freshness,Source(s),Contact name,Contact title,Status,Notes
31,Verify website first,Mayday Appliance LLC,appliance repair,Yuma,AZ,'+19283414000,,4.8,33,Research First,85,Website build candidate · no site linked on Google,https://www.google.com/maps/search/?api=1&query=Mayday%20Appliance%20LLC&query_place_id=ChIJqXaxHC5Z1oARDnvaownMDoU,https://www.google.com/maps/search/?api=1&query=Mayday%20Appliance%20LLC&query_place_id=ChIJqXaxHC5Z1oARDnvaownMDoU,Current directories conflict on whether the business is still operating. Confirm status before any outreach.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,
32,Verify website first,C&C Garage Door Repair,Garage door service,Chandler,AZ,(602) 898-3533,,4.9,32,Reviews,85,Website build candidate · no site in source,https://maps.google.com/?cid=7280820750290010429&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://maps.google.com/?cid=7280820750290010429&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Jul 8 source has no website; search the business name and phone before calling.,2026-07-08,Phoenix pool/garage probe · Jul 8,,,,
33,Verify website first,Jeremy's Pool & Spa,Pool service,Maricopa,AZ,(520) 709-5718,,4.3,31,Reviews,85,Website build candidate · no site in source,https://maps.google.com/?cid=10553921416122410816&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://maps.google.com/?cid=10553921416122410816&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Jul 8 source has no website; search the business name and phone before calling.,2026-07-08,Phoenix pool/garage probe · Jul 8,,,,
34,Verify website first,Motley Pros,Pool service,Mesa,AZ,(480) 375-0022,,5,29,Research First,85,Website build candidate · no site in source,https://maps.google.com/?cid=9743283082675588795&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://maps.google.com/?cid=9743283082675588795&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Jul 8 source has no website; search the business name and phone before calling.,2026-07-08,Phoenix pool/garage probe · Jul 8,,,,
35,Verify website first,Willow Garage Door's I᠎nsta᠎llatio᠎ns,Garage door service,Goodyear,AZ,(602) 535-0870,,5,26,Research First,85,Website build candidate · no site in source,https://maps.google.com/?cid=5477880103472978903&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://maps.google.com/?cid=5477880103472978903&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Jul 8 source has no website; search the business name and phone before calling.,2026-07-08,Phoenix trades call list · Jul 2026 | Phoenix pool/garage probe · Jul 8,,,,
36,Verify website first,Arizona Metro Garage Door Openers & Repairs,Garage door service,Phoenix,AZ,(602) 847-4312,,5,23,Reviews,81,Website build candidate · no site in source,https://maps.google.com/?cid=739299097022387203&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://maps.google.com/?cid=739299097022387203&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Jul 8 source has no website; search the business name and phone before calling.,2026-07-08,Phoenix trades call list · Jul 2026 | Phoenix pool/garage probe · Jul 8,,,,
37,Verify website first,Precision Pools LLC,Pool service,Scottsdale,AZ,(480) 266-6588,,5,22,Reviews,81,Website build candidate · no site in source,https://maps.google.com/?cid=2927357370274653745&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://maps.google.com/?cid=2927357370274653745&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Jul 8 source has no website; search the business name and phone before calling.,2026-07-08,Phoenix pool/garage probe · Jul 8,,,,
38,Verify website first,Tree Rigs,Tree service,Phoenix,AZ,'+1 602-405-8586,,4.9,19,Reviews,61,No website in vendor source · manual check required,"https://www.google.com/maps/place/Tree+Rigs/@33.6259649,-111.99735439999999,14z/data=!4m8!1m2!2m1!1sTree+Rigs!3m4!1s0x872b73d4ff9e1409:0xbf454a7c16e06656!8m2!3d33.6259649!4d-111.99735439999999","https://www.google.com/maps/place/Tree+Rigs/@33.6259649,-111.99735439999999,14z/data=!4m8!1m2!2m1!1sTree+Rigs!3m4!1s0x872b73d4ff9e1409:0xbf454a7c16e06656!8m2!3d33.6259649!4d-111.99735439999999",Source record only; verify immediately before outreach.,2026-05-15,Tree-service Outscraper · May 15,,,,
39,Verify website first,S.O.S. Pools Service & Repair,Pool service,Phoenix metro,AZ,(623) 759-9898,,4.8,17,Reviews,81,Website build candidate · no site in source,https://maps.google.com/?cid=2067022072773662888&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://maps.google.com/?cid=2067022072773662888&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Jul 8 source has no website; search the business name and phone before calling.,2026-07-08,Phoenix pool/garage probe · Jul 8,,,,
40,Verify website first,Blue Clover Pool Service,Pool service,Mesa,AZ,(480) 319-2286,,4.5,13,Reviews,81,Website build candidate · no site in source,https://maps.google.com/?cid=3074328120836903390&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://maps.google.com/?cid=3074328120836903390&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Jul 8 source has no website; search the business name and phone before calling.,2026-07-08,Phoenix pool/garage probe · Jul 8,,,,
41,Verify website first,"Bright Blue Pool Services, LLC",Pool service,Avondale,AZ,(602) 538-7338,,4,12,Reviews,81,Website build candidate · no site in source,https://maps.google.com/?cid=9625807412509039552&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://maps.google.com/?cid=9625807412509039552&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Jul 8 source has no website; search the business name and phone before calling.,2026-07-08,Phoenix pool/garage probe · Jul 8,,,,
