Research rank,Callable rank,Existing cockpit record,Business,Category,City / service area,State,Phone,Email,Paid channel(s),Paid-signal confidence,Paid evidence,Platform response / demand,Recommended first conversation,Why this angle,Google profile status,Google rating,Google reviews,Google Maps,Google search,Website status,Website,Platform profile(s),Evidence page(s),Observed,Cockpit lead ID,Match method,Possible existing IDs,Status,Notes
1,1,Existing cockpit record · enriched in place,"Temperature Control, Inc. A/C-Heating & Plumbing - Tucson, AZ",hvac contractor,Tucson,AZ,'+15207753566,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid),Angi · response 2 days · 409 recent quote requests | Angi · response 11 hrs · rate 91% · 562 recent quote requests,Lead recovery,"Angi shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,4.9,2219,https://www.google.com/maps/search/?api=1&query=Temperature%20Control%2C%20Inc.%20A%2FC-Heating%20%26%20Plumbing%20-%20Tucson%2C%20AZ&query_place_id=ChIJZ5Be8T9x1oYR-4MljaoTYSE,https://www.google.com/maps/search/?api=1&query=Temperature%20Control%20Plumbing%2C%20LLC%20Arizona,Live,https://temp-con.com/,,https://www.angi.com/companylist/us/az/tucson/plumbing.htm | https://www.angi.com/companylist/us/az/tucson/hvac.htm,2026-07-22,place-ChIJZ5Be8T9x1oYR-4MljaoTYSE,Reviewed cross-platform identity match,,,
2,2,Existing cockpit record · enriched in place,Custom Plumbing of Arizona - Phoenix,plumber,Phoenix,AZ,'+16028662665,denise@customplumbingaz.com,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 2735 recent quote requests,Lead recovery,"Angi shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,4.7,687,https://www.google.com/maps/search/?api=1&query=Custom%20Plumbing%20of%20Arizona%20-%20Phoenix&query_place_id=ChIJFRKRVhFCK4cRxn6Ult7LGrg,"https://www.google.com/maps/place/Custom+Plumbing+of+Arizona+-+Phoenix/@33.6773351,-112.0373128,14z/data=!4m8!1m2!2m1!1sCustom+Plumbing+of+Arizona+-+Phoenix!3m4!1s0x872b421156911215:0xb81acbde96947ec6!8m2!3d33.6773351!4d-112.0373128",Live,https://customplumbingaz.com/,https://www.angi.com/companylist/us/az/phoenix/custom-plumbing-of-arizona-llc-reviews-2.htm,https://www.angi.com/companylist/us/az/phoenix/plumbing.htm,2026-07-22,place-ChIJFRKRVhFCK4cRxn6Ult7LGrg,Reviewed cross-platform identity match,,,
3,3,Existing cockpit record · enriched in place,"Benjamin Franklin Plumbing of Phoenix, AZ",Plumber,Phoenix,AZ,'+1 480-223-9348,jfraccascia@benfranklinplumbingaz.com,Angi + Google Search Ads,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid) | Google Search Ads: Active lead-platform signal (Confirmed paid),Angi · response 50 mins · 124 recent quote requests,Lead recovery,"Angi + Google Search Ads shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile signal · direct link needs recheck,4.8,1956,,https://www.google.com/maps/search/?api=1&query=Benjamin%20Franklin%20The%20Punctual%20Plumber%20Arizona,Website linked on Angi profile · live state not audited,http://www.benfranklinplumbingaz.com/,https://www.angi.com/companylist/us/az/scottsdale/benjamin-franklin-the-punctual-plumber-reviews-1.htm,https://www.angi.com/companylist/us/az/phoenix/plumbing.htm | https://www.google.com/search?q=plumber+phoenix+az,2026-07-21 | 2026-07-22,phone-4802239348,Exact phone/place/domain/name + service-area match,,,
4,4,Existing cockpit record · enriched in place,Plumber of Tucson,plumber,Tucson,AZ,'+15209009010,,Angi + Yelp,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid) | Yelp: Sponsored result (Confirmed paid),Angi · response 2 hrs · rate 93% | Yelp · response 10 mins,Lead recovery,"Angi + Yelp shows the company is already acquiring leads. Its basic website/Google presence is established, so qualify what happens when a paid call or form is missed.",Current Google profile matched,4.9,353,https://www.google.com/maps/search/?api=1&query=Plumber%20of%20Tucson&query_place_id=ChIJ__-Po1Fw1oYRMM9-08W0cCQ,https://www.google.com/maps/search/?api=1&query=Plumber%20of%20Tucson%20Arizona,Basic website checks pass,https://plumberoftucson.com/,https://www.yelp.com/biz/plumber-of-tucson-tucson-2,https://www.angi.com/companylist/us/az/tucson/plumbing.htm | https://www.yelp.com/search?find_desc=Plumbers&find_loc=Tucson%2C%20AZ,2026-07-21 | 2026-07-22,place-ChIJ__-Po1Fw1oYRMM9-08W0cCQ,Exact phone/place/domain/name + service-area match,,,
5,5,Existing cockpit record · enriched in place,Blue Fox Garage Doors,Garage door service,Gilbert,AZ,(480) 877-9841,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid),Angi · response 5 hrs · rate 95% · 241 recent quote requests | Angi · response 5 hrs · rate 95% · 241 recent quote requests,Website,The company is buying visibility while its recorded website has a current website rescue candidate · parked/thin page signal.,Current Google profile matched,5,907,https://maps.google.com/?cid=18026172247038571114&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.google.com/maps/search/?api=1&query=Blue%20Fox%20Garage%20Doors%20Arizona,Website rescue candidate · parked/thin page,https://bluefoxgaragedoors.com/,,https://www.angi.com/companylist/us/az/phoenix/garage-doors.htm | https://www.angi.com/companylist/us/az/tucson/garage-doors.htm,2026-07-22,phone-4808779841,Exact normalized business-name match,,,
6,6,Existing cockpit record · enriched in place,"Platinum Elite Steam Cleaning, Inc. Tuscon AZ",tile and grout cleaning,Tucson,AZ,'+15205265502,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 4 hrs · 49 recent quote requests,Website,Paid acquisition is active and the existing Google/site audit did not find an owned website. Recheck before saying this on the call.,Current Google profile matched,5,34,https://www.google.com/maps/search/?api=1&query=Platinum%20Elite%20Steam%20Cleaning%2C%20Inc.%20Tuscon%20AZ&query_place_id=ChIJYZRs8lRxAoIRyQlFBMm-Ao8,https://www.google.com/maps/search/?api=1&query=PLATINUM%20ELITE%20STEAM%20CLEANING%20INC.%20Arizona,Website build candidate · no site linked on Google,,,https://www.angi.com/companylist/us/az/tucson/house-cleaning.htm,2026-07-22,place-ChIJYZRs8lRxAoIRyQlFBMm-Ao8,Reviewed cross-platform identity match,,,
7,7,Existing cockpit record · enriched in place,Preferred Choice Pest Control,pest control,Surprise,AZ,'+16027411059,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 2 hrs,Website,The company is buying visibility while its recorded website has a current conversion fix candidate · technical flags signal.,Current Google profile matched,5,33,https://www.google.com/maps/search/?api=1&query=Preferred%20Choice%20Pest%20Control&query_place_id=ChIJ411J7kv7OQoRk1whQUMili8,https://www.google.com/maps/search/?api=1&query=Preferred%20Choice%20Pest%20Control%20Arizona,Conversion fix candidate · technical flags,https://www.preferredchoicepestcontrol.com/,,https://www.angi.com/companylist/us/az/phoenix/pest-control.htm,2026-07-22,place-ChIJ411J7kv7OQoRk1whQUMili8,Exact normalized business-name match,,,
8,8,Existing cockpit record · enriched in place,Elite Garage Doors & Gates,garage door repair,Flagstaff,AZ,'+19288468607,damcnelis@yahoo.com,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 4 hrs · 205 recent quote requests,Website,The company is buying visibility while its recorded website has a current conversion fix candidate · technical flags signal.,Current Google profile matched,4.8,20,https://www.google.com/maps/search/?api=1&query=Elite%20Garage%20Doors%20%26%20Gates&query_place_id=ChIJndcIYyuPLYcRuO71XYh23ds,https://www.google.com/maps/search/?api=1&query=Elite%20Garage%20Doors%20%26%20Gates%20Arizona,Conversion fix candidate · technical flags,https://elitegaragedoorsandgates.com/garage-door-repair-flagstaff-az/,,https://www.angi.com/companylist/us/az/tucson/garage-doors.htm,2026-07-22,place-ChIJndcIYyuPLYcRuO71XYh23ds,Exact phone/place/domain/name + service-area match,,,
9,9,Existing cockpit record · enriched in place,Best Pest & Wildlife Control Arizona,pest control,Tempe,AZ,'+14804288948,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 1 day · rate 100% · 98 recent quote requests,Reviews,"Angi shows paid lead activity; Google currently shows 123 reviews at 4.8, creating a concrete reputation-system conversation.",Current Google profile matched,4.8,123,https://www.google.com/maps/search/?api=1&query=Best%20Pest%20%26%20Wildlife%20Control%20Arizona&query_place_id=ChIJFS7bdVDjBkERP9uLKj3Sa0k,"https://www.google.com/maps/place/Best+Pest+%26+Wildlife+Control+Arizona/@33.019338,-112.0206415,14z/data=!4m8!1m2!2m1!1sBest+Pest+%26+Wildlife+Control+Arizona!3m4!1s0x4106e35075db2e15:0x496bd23d2a8bdb3f!8m2!3d33.019338!4d-112.0206415",Live,https://bestpestwildlife.com/arizona/,,https://www.angi.com/companylist/us/az/tucson/pest-control.htm,2026-07-22,place-ChIJFS7bdVDjBkERP9uLKj3Sa0k,Reviewed cross-platform identity match,,,
10,10,Existing cockpit record · enriched in place,Tucson Pest Control,pest control,Tucson,AZ,'+15207751845,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 3 recent quote requests,Reviews,"Angi shows paid lead activity; Google currently shows 81 reviews at 4.9, creating a concrete reputation-system conversation.",Current Google profile matched,4.9,81,https://www.google.com/maps/search/?api=1&query=Tucson%20Pest%20Control&query_place_id=ChIJn0E1usjX1YYREVGufmD_0xQ,https://www.google.com/maps/search/?api=1&query=Tucson%20Pest%20Control%20Arizona,Basic website checks pass,https://www.mytucsonpestcontrol.com/,,https://www.angi.com/companylist/us/az/tucson/pest-control.htm,2026-07-22,place-ChIJn0E1usjX1YYREVGufmD_0xQ,Exact phone/place/domain/name + service-area match,,,
