Call order,Test lane,Primary offer,Business,Category,City,State,Phone,Email,Rating,Reviews,Primary score,Website score,Review score,AI fit score,Confidence,Observable reason,Selection note,Website status,Website,Google Maps,Verify before call,Data freshness,Source(s),Contact name,Contact title,Employee estimate,Revenue estimate,Status,Notes
1,Website,Website,Mallard Appliance,appliance repair,Surprise,AZ,'+19286255273,,4.9,159,94,94,50,12,Medium,No owned website found or linked; 159 Google reviews provide an activity signal. Verify the exact site condition before saying it.,Direct website conversation after a same-day site check.,Website build candidate · no owned domain found,,https://www.google.com/maps/search/?api=1&query=Mallard%20Appliance&query_place_id=ChIJrSOwwEkzW0QRbWTQpz5kkVw,Current search on 2026-07-20 surfaced directory profiles but no owned domain. Confirm once more immediately before the call.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
2,Website,Website,Paradise Landscape & Irrigation,irrigation repair,Chandler,AZ,'+16022951929,,4.8,143,94,94,46,22,Medium,No owned website found or linked; 143 Google reviews provide an activity signal. Verify the exact site condition before saying it.,Direct website conversation after a same-day site check.,Website build candidate · no owned domain found,,https://www.google.com/maps/search/?api=1&query=Paradise%20Landscape%20%26%20Irrigation&query_place_id=ChIJ_ZNT-hyqK4cRl_BLAh2DbL8,Current search on 2026-07-20 surfaced directory profiles but no owned domain. Confirm once more immediately before the call.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
3,Website,Website,Affordable Plumber AZ LLC,plumber,Mesa,AZ,'+14807026165,,4.8,91,90,90,74,22,Medium,No owned website found or linked; 91 Google reviews provide an activity signal. Verify the exact site condition before saying it.,Direct website conversation after a same-day site check.,Website build candidate · no owned domain found,,https://www.google.com/maps/search/?api=1&query=Affordable%20Plumber%20AZ%20LLC&query_place_id=ChIJAWPAAa-nK4cRAoh-FA-wuIQ,Current search on 2026-07-20 surfaced active business profiles but no owned website. Confirm once more immediately before the call.,2026-07-10,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
4,Website,Website,Ibanez Appliance Solutions LLC,appliance repair,Surprise,AZ,'+16024631004,,5,88,90,90,59,12,Medium,No owned website found or linked; 88 Google reviews provide an activity signal. Verify the exact site condition before saying it.,Direct website conversation after a same-day site check.,Website build candidate · no owned domain found,,https://www.google.com/maps/search/?api=1&query=Ibanez%20Appliance%20Solutions%20LLC&query_place_id=ChIJv3gmz-tFK4cRYmM7ThoVfSE,Current search on 2026-07-20 surfaced Nextdoor/directory profiles but no owned domain. Confirm once more immediately before the call.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
5,Website,Website,Hernandez Irrigation Repairs,irrigation repair,Chandler,AZ,'+14805723141,,4.9,70,90,90,56,22,Medium,No owned website found or linked; 70 Google reviews provide an activity signal. Verify the exact site condition before saying it.,Direct website conversation after a same-day site check.,Website build candidate · no owned domain found,,https://www.google.com/maps/search/?api=1&query=Hernandez%20Irrigation%20Repairs&query_place_id=ChIJD61KuFZLKocRcKjIFE-i1pQ,Current search on 2026-07-20 surfaced directory profiles but no owned domain. Confirm once more immediately before the call.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
6,Website,Website,Pristine Pool Service and Repair LLC,pool service,Phoenix,AZ,'+16023006765,,5,47,85,85,59,22,Medium,No owned website found or linked; 47 Google reviews provide an activity signal. Verify the exact site condition before saying it.,Direct website conversation after a same-day site check.,Website build candidate · no owned domain found,,https://www.google.com/maps/search/?api=1&query=Pristine%20Pool%20Service%20and%20Repair%20LLC&query_place_id=ChIJIypV4dOWSyoRE1gGByybVUg,Current search on 2026-07-20 surfaced active licensing and directory profiles but no owned website. Confirm once more immediately before the call.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9 | Phoenix pool/garage probe · Jul 8,,,,,,
7,Website,Website,"Joe's Irrigation Repair & Installation, LLC",irrigation repair,Glendale,AZ,'+16025009706,,4.4,40,85,85,82,22,Medium,No owned website found or linked; 40 Google reviews provide an activity signal. Verify the exact site condition before saying it.,Direct website conversation after a same-day site check.,Website build candidate · no site linked on Google,,https://www.google.com/maps/search/?api=1&query=Joe's%20Irrigation%20Repair%20%26%20Installation%2C%20LLC&query_place_id=ChIJIfiw3gxrK4cRGbsSPG9gqtw,Google profile had no website link on Jul 8; search for an independent official site before calling.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
8,Website,Website,Zacks Irrigation Repair LLC,irrigation repair,Phoenix,AZ,'+16028147771,,4.8,37,85,85,74,22,Medium,No owned website found or linked; 37 Google reviews provide an activity signal. Verify the exact site condition before saying it.,Direct website conversation after a same-day site check.,Website build candidate · no site linked on Google,,https://www.google.com/maps/search/?api=1&query=Zacks%20Irrigation%20Repair%20LLC&query_place_id=ChIJC6apvoMTK4cRg9NYhgsCZKM,Google profile had no website link on Jul 8; search for an independent official site before calling.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
9,Website,Website,Jay's Lawns LLC,landscaper,Scottsdale,AZ,'+14802263912,,5,28,85,85,49,22,Medium,No owned website found or linked; 28 Google reviews provide an activity signal. Verify the exact site condition before saying it.,Direct website conversation after a same-day site check.,Website build candidate · no site linked on Google,,https://www.google.com/maps/search/?api=1&query=Jay's%20Lawns%20LLC&query_place_id=ChIJJY0AYOULK4cRCwFu0iVv4w4,Google profile had no website link on Jul 8; search for an independent official site before calling.,2026-07-10,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
10,Website,Website,Sidewinder Garage Door Service LLC,garage door repair,Peoria,AZ,'+16023990787,,5,26,85,85,67,22,Medium,No owned website found or linked; 26 Google reviews provide an activity signal. Verify the exact site condition before saying it.,Direct website conversation after a same-day site check.,Website build candidate · no site linked on Google,,https://www.google.com/maps/search/?api=1&query=Sidewinder%20Garage%20Door%20Service%20LLC&query_place_id=ChIJ5yY2m62ef4IRZFEMsIaNqEM,Google profile had no website link on Jul 8; search for an independent official site before calling.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9 | Phoenix trades call list · Jul 2026,,,,,,
11,Reviews,Reviews,Pest Control Solutions,pest control,Mesa,AZ,'+14809632077,,4.2,54,89,35,89,26,Medium,"54 reviews versus a 799-review local result-set median, with a 4.2 rating.",Direct review-system conversation after confirming the current Google profile.,Basic website checks pass,https://www.pestcontrolsolutionsaz.com/,https://www.google.com/maps/search/?api=1&query=Pest%20Control%20Solutions&query_place_id=ChIJP0AFVE6oK4cRsJB-fxSRHCg,Jul 9 basic checks passed; this is not a full UX or SEO audit.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
12,Reviews,Reviews,Scottsdale Plumbing Co,plumber,Scottsdale,AZ,'+14809459583,,4,46,89,30,89,26,Medium,"46 reviews versus a 540-review local result-set median, with a 4.0 rating.",Direct review-system conversation after confirming the current Google profile.,Basic website checks pass,https://www.scottsdaleplumbing.com/,https://www.google.com/maps/search/?api=1&query=Scottsdale%20Plumbing%20Co&query_place_id=ChIJM1wHM8QLK4cRFaKEk8RGtbk,Jul 9 basic checks passed; this is not a full UX or SEO audit.,2026-07-10,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
13,Reviews,Reviews,Arizona All Star Cleaning,carpet cleaning,Gilbert,AZ,'+14806358605,,4.6,33,89,64,89,16,Medium,"33 reviews versus a 144-review local result-set median, with a 4.6 rating.",Direct review-system conversation after confirming the current Google profile.,Conversion fix candidate · technical flags,https://gilbertcarpetclean.com/,https://www.google.com/maps/search/?api=1&query=Arizona%20All%20Star%20Cleaning&query_place_id=ChIJVwUGecCrK4cRoujl8XNdci8,Jul 9 basic audit found a mobile/contact/HTTPS flag; inspect the page before defining scope.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
14,Reviews,Reviews,Piped Right Irrigation,irrigation repair,Chandler,AZ,'+14803314545,,4.6,11,89,26,89,26,Medium,"11 reviews versus a 85-review local result-set median, with a 4.6 rating.",Direct review-system conversation after confirming the current Google profile.,Basic website checks pass,https://www.pipedrightirrigation.com/,https://www.google.com/maps/search/?api=1&query=Piped%20Right%20Irrigation&query_place_id=ChIJITK7UF46Ei0RArXYmQZSILU,Jul 9 basic checks passed; this is not a full UX or SEO audit.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
15,Reviews,Reviews,Elite Pest & Wildlife Control of Surprise,pest control,Surprise,AZ,'+16232395253,,4.5,8,89,22,89,26,Medium,"8 reviews versus a 64-review local result-set median, with a 4.5 rating.",Direct review-system conversation after confirming the current Google profile.,Basic website checks pass,https://elitepestanimalcontrol.com/locations/surprise-az.html,https://www.google.com/maps/search/?api=1&query=Elite%20Pest%20%26%20Wildlife%20Control%20of%20Surprise&query_place_id=ChIJO5bL5QZFK4cR1-BVJVCrt9I,Jul 9 basic checks passed; this is not a full UX or SEO audit.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
16,Reviews,Reviews,Scottsdale Pool Service and Repair,pool service,Scottsdale,AZ,'+14807393963,,4.5,6,89,22,89,26,Medium,"6 reviews versus a 103-review local result-set median, with a 4.5 rating.",Direct review-system conversation after confirming the current Google profile.,Basic website checks pass,https://scottsdalepoolserviceandrepair.com/,https://www.google.com/maps/search/?api=1&query=Scottsdale%20Pool%20Service%20and%20Repair&query_place_id=ChIJW1bdIwt3K4cRj_ZsbNH6fsg,Jul 9 basic checks passed; this is not a full UX or SEO audit.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9 | Phoenix pool/garage probe · Jul 8,,,,,,
17,Reviews,Reviews,Five Star Pool Service,pool service,Mesa,AZ,'+16028097665,,4.6,5,89,22,89,26,Medium,"5 reviews versus a 123-review local result-set median, with a 4.6 rating.",Direct review-system conversation after confirming the current Google profile.,Basic website checks pass,https://www.myfivestarpool.com/,https://www.google.com/maps/search/?api=1&query=Five%20Star%20Pool%20Service&query_place_id=ChIJmQkrbYKmK4cR97jt8UKkpQA,Jul 9 basic checks passed; this is not a full UX or SEO audit.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9 | Phoenix pool/garage probe · Jul 8,,,,,,
18,Reviews,Reviews,Anteater Exterminating Inc.,pest control,Chandler,AZ,'+14807507876,,4.9,51,87,41,87,32,Medium,"51 reviews versus a 213-review local result-set median, with a 4.9 rating.",Direct review-system conversation after confirming the current Google profile.,Basic website checks pass,https://www.pestcontrolanteater.com/chandler-az/exterminator/,https://www.google.com/maps/search/?api=1&query=Anteater%20Exterminating%20Inc.&query_place_id=ChIJVQQ6fOgHK4cRVXLwroO1ceM,Jul 9 basic checks passed; this is not a full UX or SEO audit.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,Shawn Kleinstiver. As,possible owner,,,,
19,Reviews,Reviews,Wagner Pest Solutions,pest control,Glendale,AZ,'+16234666752,,4.6,237,82,50,82,26,Medium,"237 reviews versus a 705-review local result-set median, with a 4.6 rating.",Direct review-system conversation after confirming the current Google profile.,Website listed · not audited,https://wagnerpest.com/,https://www.google.com/maps/search/?api=1&query=Wagner%20Pest%20Solutions&query_place_id=ChIJMYGfWANrK4cRFQgXNI8-Jfg,Source record only; verify immediately before outreach.,2026-07-08,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
20,Reviews,Reviews,Simply The Best Heating And Cooling,hvac contractor,Gilbert,AZ,'+14803618458,,4.5,208,82,39,82,26,Medium,"208 reviews versus a 501-review local result-set median, with a 4.5 rating.",Direct review-system conversation after confirming the current Google profile.,Basic website checks pass,https://simplythebestac.com/,https://www.google.com/maps/search/?api=1&query=Simply%20The%20Best%20Heating%20And%20Cooling&query_place_id=ChIJuaYkBwOpK4cROWxlHD0y8sE,Jul 9 basic checks passed; this is not a full UX or SEO audit.,2026-07-10,Arizona service leads · Maps Jul 8 / audit Jul 9,,,,,,
